"date","WeatherDelay","ArrDelay","DepDelay","TaxiIn","TaxiOut","Cancelled","LateAircraftDelay"
"2007-02-05",29,29,35,1,21,0,0
"2007-02-06",0,NA,NA,0,0,1,0
"2007-02-06",0,NA,NA,0,0,1,0
"2007-02-07",0,NA,NA,0,0,1,0
"2007-02-09",15,15,20,4,22,0,0
"2007-02-11",25,25,34,6,11,0,0
"2007-02-12",0,NA,NA,0,0,1,0
"2007-02-12",40,45,40,6,28,0,0
"2007-02-12",97,121,97,2,39,0,0
"2007-02-12",20,25,20,1,22,0,0
"2007-02-13",0,NA,NA,0,0,1,0
"2007-02-13",155,177,155,10,41,0,0
"2007-02-15",115,124,115,2,34,0,0
"2007-02-15",165,170,165,13,21,0,0
"2007-02-16",35,36,35,2,21,0,0
"2007-02-16",50,50,67,3,10,0,0
"2007-02-17",35,56,35,2,42,0,0
"2007-02-17",55,60,55,4,25,0,0
"2007-02-17",148,156,148,3,19,0,0
"2007-02-19",42,42,50,2,10,0,0
"2007-02-20",23,23,24,2,20,0,0
"2007-02-20",35,36,35,6,18,0,0
"2007-02-21",0,NA,NA,0,0,1,0
"2007-02-21",180,189,180,9,20,0,0
"2007-02-21",485,485,495,2,14,0,0
"2007-02-21",20,20,30,1,16,0,0
"2007-02-21",33,33,40,5,6,0,0
"2007-02-22",23,23,25,3,16,0,0
"2007-02-22",74,79,74,2,25,0,0
"2007-02-22",7,15,7,2,29,0,0
"2007-02-23",19,19,29,1,16,0,0
"2007-02-23",30,42,30,3,34,0,0
"2007-02-24",29,49,29,8,38,0,0
"2007-02-25",0,NA,NA,0,0,1,0
"2007-02-25",0,NA,NA,0,0,1,0
"2007-02-25",0,NA,NA,0,0,1,0
"2007-02-25",56,56,59,2,17,0,0
"2007-02-26",57,62,57,4,27,0,0
"2007-02-26",58,67,58,1,37,0,0
"2007-02-27",36,36,45,3,16,0,0
"2007-02-28",43,75,43,2,51,0,0
"2007-02-06",0,NA,NA,0,0,1,0
"2007-02-12",33,33,24,11,28,0,0
"2007-02-13",0,NA,NA,0,0,1,0
"2007-02-13",0,NA,NA,0,0,1,0
"2007-02-14",0,NA,NA,0,0,1,0
"2007-02-17",0,NA,NA,0,0,1,0
"2007-02-21",0,NA,NA,0,0,1,0
"2007-02-24",0,NA,NA,0,0,1,0
"2007-02-25",0,NA,NA,0,0,1,0
"2007-02-14",0,NA,NA,0,0,1,0
"2007-02-25",0,NA,NA,0,0,1,0
"2007-02-03",36,80,99,5,11,0,44
"2007-02-06",26,145,153,5,17,0,119
"2007-02-13",0,NA,NA,0,0,1,0
"2007-02-13",0,NA,NA,0,0,1,0
"2007-02-14",0,NA,NA,0,0,1,0
"2007-02-15",24,26,24,10,30,0,0
"2007-02-24",0,NA,NA,0,0,1,0
"2007-02-25",24,37,24,6,44,0,0
"2007-02-26",136,136,143,5,22,0,0
"2007-02-02",9,20,29,4,14,0,11
"2007-02-05",29,53,64,7,15,0,24
"2007-02-06",0,NA,NA,0,0,1,0
"2007-02-12",0,NA,NA,0,0,1,0
"2007-02-13",57,106,81,8,40,0,24
"2007-02-14",0,NA,NA,0,0,1,0
"2007-02-24",0,NA,NA,0,0,1,0
"2007-02-25",0,NA,NA,0,0,1,0
"2007-02-26",38,66,54,20,23,0,16
"2007-02-28",0,NA,NA,0,0,1,0
"2007-02-01",13,18,15,5,21,0,2
"2007-02-06",0,NA,NA,0,0,1,0
"2007-02-14",52,66,52,13,14,0,0
"2007-02-15",14,33,27,13,14,0,13
"2007-02-17",1,15,10,16,12,0,9
"2007-02-25",0,NA,NA,0,0,1,0
"2007-02-26",0,NA,NA,0,0,1,0
"2007-02-27",47,50,47,9,14,0,0
"2007-02-06",19,42,52,2,15,0,23
"2007-02-07",0,NA,NA,0,0,1,0
"2007-02-12",22,33,24,5,27,0,2
"2007-02-13",0,NA,NA,0,0,1,0
"2007-02-14",0,NA,NA,0,0,1,0
"2007-02-15",7,22,23,7,19,0,15
"2007-02-21",0,NA,NA,0,0,1,0
"2007-02-25",0,NA,NA,0,0,1,0
"2007-02-26",0,NA,NA,0,0,1,0
"2007-02-04",16,16,33,4,12,0,0
"2007-02-06",0,NA,NA,0,0,1,0
"2007-02-12",57,102,101,7,19,0,44
"2007-02-13",0,NA,NA,0,0,1,0
"2007-02-14",35,35,52,3,10,0,0
"2007-02-26",17,26,17,13,27,0,0
"2007-02-04",0,NA,NA,0,0,1,0
"2007-02-06",39,62,39,8,46,0,0
"2007-02-07",15,25,15,7,34,0,0
"2007-02-12",0,NA,NA,0,0,1,0
"2007-02-13",35,81,79,5,21,0,44
"2007-02-14",0,NA,NA,0,0,1,0
"2007-02-15",13,18,23,10,15,0,5
"2007-02-17",0,NA,NA,0,0,1,0
"2007-02-21",0,NA,NA,0,0,1,0
"2007-02-25",0,NA,NA,0,0,1,0
"2007-02-06",230,268,267,9,10,0,37
"2007-02-13",0,NA,NA,0,0,1,0
"2007-02-14",0,NA,NA,0,0,1,0
"2007-02-21",59,66,59,7,12,0,0
"2007-02-25",50,54,50,11,22,0,0
"2007-02-02",2,65,77,5,18,0,63
"2007-02-04",13,16,25,9,19,0,3
"2007-02-06",23,23,29,11,14,0,0
"2007-02-07",2,50,63,12,12,0,48
"2007-02-13",0,NA,NA,0,0,1,0
"2007-02-26",0,NA,NA,0,0,1,0
"2007-03-01",0,NA,NA,0,0,1,0
"2007-03-01",0,NA,NA,0,0,1,0
"2007-03-01",85,89,85,2,25,0,0
"2007-03-01",89,113,89,1,32,0,0
"2007-03-01",65,143,65,3,21,0,0
"2007-03-02",0,NA,NA,0,0,1,0
"2007-03-02",0,NA,NA,0,0,1,0
"2007-03-02",35,70,35,3,45,0,0
"2007-03-02",195,212,195,3,44,0,0
"2007-03-02",110,117,110,4,20,0,0
"2007-03-03",50,61,50,1,34,0,0
"2007-03-03",47,47,50,5,17,0,0
"2007-03-03",49,49,65,1,17,0,0
"2007-03-04",24,24,25,4,18,0,0
"2007-03-05",18,18,25,1,19,0,0
"2007-03-05",74,74,79,1,21,0,0
"2007-03-06",17,17,20,2,21,0,0
"2007-03-07",103,103,105,3,23,0,0
"2007-03-07",29,29,30,4,17,0,0
"2007-03-16",0,NA,NA,0,0,1,0
"2007-03-21",0,NA,NA,0,0,1,0
"2007-03-21",0,NA,NA,0,0,1,0
"2007-03-21",62,89,62,6,40,0,0
"2007-03-21",150,173,150,3,44,0,0
"2007-03-21",70,72,70,5,27,0,0
"2007-03-22",157,157,170,1,15,0,0
"2007-03-22",240,246,240,2,25,0,0
"2007-03-22",52,126,52,4,92,0,0
"2007-03-23",15,22,15,2,40,0,0
"2007-03-23",170,175,170,1,25,0,0
"2007-03-24",15,19,15,2,25,0,0
"2007-03-24",29,29,30,1,29,0,0
"2007-03-24",75,101,75,1,52,0,0
"2007-03-25",23,29,23,2,29,0,0
"2007-03-27",25,29,25,2,27,0,0
