UniqueCarrier,tailnum,AvgCatchUpTime,iloscWystapien,type,manufacturer,issue_date,model,status,aircraft_type,engine_type,year
EV,N925EV,-3.1070,9360,Corporation,BOMBARDIER INC,08/22/2003,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
YV,N925FJ,-1.3912,4827,Corporation,BOMBARDIER INC,09/29/2005,CL600-2D24,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
F9,N925FR,-0.7530,5203,Corporation,AIRBUS,02/20/2004,A319-111,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
OO,N925SW,-1.5164,11892,Corporation,BOMBARDIER INC,10/15/2003,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
UA,N925UA,-1.9389,21617,Corporation,BOEING,03/11/1992,737-522,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1992
NW,N925US,0.0393,17479,Corporation,MCDONNELL DOUGLAS,07/31/2000,DC-9-32,Valid,Fixed Wing Multi-Engine,Turbo-Jet,None
US,N925UW,-2.9765,1582,Corporation,BOEING,02/14/2005,757-225,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1983
FL,N926AT,-1.5230,9393,Corporation,BOEING,10/27/2000,717-200,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
OH,N926CA,-1.5864,8426,Corporation,CANADAIR,12/21/1993,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1993
DL,N926DL,-0.0957,21925,Corporation,MCDONNELL DOUGLAS AIRCRAFT CO,11/15/1988,MD-88,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
EV,N926EV,-3.2374,9420,Corporation,BOMBARDIER INC,09/25/2003,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
F9,N926FR,-0.5553,5242,Corporation,AIRBUS,04/05/2004,A319-111,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
YV,N926LR,-1.5820,4869,Corporation,BOMBARDIER INC,09/29/2005,CL600-2D24,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
NW,N926NW,0.4675,18515,Corporation,DOUGLAS,07/31/2000,DC-9-32,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1970
OO,N926SW,-1.6870,11611,Corporation,BOMBARDIER INC,10/09/2003,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
FL,N927AT,-1.7374,9778,Corporation,BOEING,10/25/2000,717-200,Valid,Fixed Wing Multi-Engine,Turbo-Fan,None
OH,N927CA,-1.5554,8698,Corporation,CANADAIR,01/14/1994,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1993
DL,N927DA,-0.2295,21817,Corporation,MCDONNELL DOUGLAS AIRCRAFT CO,11/30/1988,MD-88,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1988
